/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	990	Jacquelin Holzman	served as	mayor of Ottawa	0	2	2	4	4	7	0.9760611575122404	Jacquelin Holzman served as mayor of Ottawa , Canada , from 1991 to 1997 .	NNP NNP VBD IN NN IN NNP , NNP , IN CD TO CD .	B-NP I-NP B-VP B-PP B-NP I-NP I-NP O B-NP O B-PP B-NP B-PP B-NP O	jacquelin holzman	serve as	mayor of ottawa
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	991	she	married at	age nineteen	4	5	5	7	7	9	0.2584322566822616	Never attending university , she married at age nineteen and started a family .	RB VBG NN , PRP VBD IN NN CD CC VBD DT NN .	B-ADVP B-VP B-NP O B-NP B-VP B-PP B-NP I-NP O B-VP B-NP I-NP O	she	marry at	age #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	991	she	started	a family	4	5	10	11	11	13	0.24207037350372065	Never attending university , she married at age nineteen and started a family .	RB VBG NN , PRP VBD IN NN CD CC VBD DT NN .	B-ADVP B-VP B-NP O B-NP B-VP B-PP B-NP I-NP O B-VP B-NP I-NP O	she	start	a family
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	992	She	became	a volunteer	0	1	1	2	2	4	0.48947808379059926	She became a volunteer , especially on causes relating to the disabled .	PRP VBD DT NN , RB IN NNS VBG TO DT JJ .	B-NP B-VP B-NP I-NP O B-ADVP B-PP B-NP B-VP B-PP B-NP I-NP O	she	become	a volunteer
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	993	She	was elected to	Ottawa city council	0	1	1	4	4	7	0.8778383755166335	She was elected to Ottawa city council in 1982 representing the Richmond Ward , defeating future mayor Bob Chiarelli , and became one of the more right-leaning city councillors .	PRP VBD VBN TO NNP NN NN IN CD VBG DT NNP NNP , VBG JJ NN NNP NNP , CC VBD CD IN DT JJR JJ NN NNS .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP B-VP B-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	she	elect to	ottawa city council
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	993	the Richmond Ward	became one of	the more right-leaning city councillors	10	13	21	24	24	29	0.7632325878240435	She was elected to Ottawa city council in 1982 representing the Richmond Ward , defeating future mayor Bob Chiarelli , and became one of the more right-leaning city councillors .	PRP VBD VBN TO NNP NN NN IN CD VBG DT NNP NNP , VBG JJ NN NNP NNP , CC VBD CD IN DT JJR JJ NN NNS .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP B-VP B-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP O O B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	the richmond ward	become one of	the more right-leaning city councillors
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	994	she	soon ran into	controversy	6	7	7	10	10	11	0.21437687988709164	Acclaimed in the 1985 election , she soon ran into controversy in her second term over an expansion to the Carlingwood Shopping Centre .	VBN IN DT CD NN , PRP RB VBD IN NN IN PRP$ JJ NN IN DT NN TO DT NNP NNP NNP .	B-VP B-PP B-NP I-NP I-NP O B-NP B-ADVP B-VP B-PP B-NP B-PP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	she	run into	controversy
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	995	Holzman	supported	the expansion	0	1	1	2	2	4	0.8918030088393822	Holzman supported the expansion but many of her constituents were opposed .	NNP VBD DT NN CC JJ IN PRP$ NNS VBD VBN .	B-NP B-VP B-NP I-NP O B-NP I-NP I-NP I-NP B-VP I-VP O	holzman	support	the expansion
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	996	she	faced a strong challenge from	Alex Cullen	6	7	7	12	12	14	0.7723346855056269	In the 1988 Ottawa election , she faced a strong challenge from Alex Cullen but was re-elected with a solid majority .	IN DT CD NNP NN , PRP VBD DT JJ NN IN NNP NNP CC VBD VBN IN DT JJ NN .	B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP O B-VP I-VP B-PP B-NP I-NP I-NP O	she	face challenge from	alex cullen
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	996	Alex Cullen	was re-elected with	a solid majority	12	14	15	18	18	21	0.9496114593052531	In the 1988 Ottawa election , she faced a strong challenge from Alex Cullen but was re-elected with a solid majority .	IN DT CD NNP NN , PRP VBD DT JJ NN IN NNP NNP CC VBD VBN IN DT JJ NN .	B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP O B-VP I-VP B-PP B-NP I-NP I-NP O	alex cullen	re-elected with	a solid majority
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	997	She	was a close ally of	mayor Jim Durrell	0	1	1	6	6	9	0.5902235498135121	She was a close ally of mayor Jim Durrell and was described as his heir apparent .	PRP VBD DT JJ NN IN NN NNP NNP CC VBD VBN IN PRP$ NN JJ .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-VP I-VP B-PP B-NP I-NP I-NP O	she	be ally of	mayor jim durrell
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacquelin Holzman.txt	997	She	was described as	his heir apparent	0	1	10	13	13	16	0.7237403611350653	She was a close ally of mayor Jim Durrell and was described as his heir apparent .	PRP VBD DT JJ NN IN NN NNP NNP CC VBD VBN IN PRP$ NN JJ .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-VP I-VP B-PP B-NP I-NP I-NP O	she	describe as	his heir apparent
