/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Barton.txt	1023	Jacqueline K. Barton	is	an American chemist	0	3	3	4	4	7	0.9999999998901186	Jacqueline K. Barton is an American chemist .	NNP NNP NNP VBZ DT JJ NN .	B-NP I-NP I-NP B-VP B-NP I-NP I-NP O	jacqueline k. barton	be	an american chemist
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Barton.txt	1024	She	is	the Arthur and Marian Hanisch Memorial professor of Chemistry	0	1	1	2	2	11	0.5409475216683585	She is the Arthur and Marian Hanisch Memorial professor of Chemistry at California Institute of Technology .	PRP VBZ DT NNP CC NNP NNP NNP NN IN NNP IN NNP NNP IN NNP .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	she	be	the arthur and marian hanisch memorial professor of chemistry
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Barton.txt	1025	The primary focus of her research	is	transverse electron transport	0	6	6	7	7	10	0.7257348742085507	The primary focus of her research is transverse electron transport along double-stranded DNA , its implications in the biology of DNA damage and repair , and its potential for materials sciences applications .	DT JJ NN IN PRP$ NN VBZ JJ NN NN IN JJ NNP , PRP$ NNS IN DT NN IN NNP NN CC NN , CC PRP$ JJ IN NNS NNS NNS .	B-NP I-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP O B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP B-PP B-NP I-NP I-NP O	the primary focus of her research	be	transverse electron transport
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Barton.txt	1026	Barton	received	her B.A.	0	1	1	2	2	4	0.9689402689315336	Barton received her B.A. from Barnard College in 1974 .	NNP VBD PRP$ NNP IN NNP NNP IN CD .	B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-PP B-NP O	barton	receive	her b.a.
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Barton.txt	1027	She	went on to	graduate study	0	1	1	4	4	6	0.39271630049849215	She went on to graduate study at Columbia University , where she studied inorganic chemistry under the supervision of S.J. Lippard .	PRP VBD IN TO JJ NN IN NNP NNP , WRB PRP VBD JJ NN IN DT NN IN NNP NNP .	B-NP B-VP B-PRT B-PP B-NP I-NP B-PP B-NP I-NP O B-ADVP B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O	she	go on to	graduate study
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Barton.txt	1027	she	studied	inorganic chemistry	11	12	12	13	13	15	0.18415999559209856	She went on to graduate study at Columbia University , where she studied inorganic chemistry under the supervision of S.J. Lippard .	PRP VBD IN TO JJ NN IN NNP NNP , WRB PRP VBD JJ NN IN DT NN IN NNP NNP .	B-NP B-VP B-PRT B-PP B-NP I-NP B-PP B-NP I-NP O B-ADVP B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP O	she	study	inorganic chemistry
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Barton.txt	1028	Barton	held post-doctoral appointments at	Bell Labs	9	10	10	14	14	16	0.9756267430130594	After earning her Ph.D. from Columbia in 1979 , Barton held post-doctoral appointments at Bell Labs and Yale University , where she worked with R.G. Shulman She earned tenure at Columbia University in the 1980s .	IN VBG PRP$ NNP IN NNP IN CD , NNP VBD JJ NNS IN NNP NNP CC NNP NNP , WRB PRP VBD IN NNP NNP PRP VBD NN IN NNP NNP IN DT CD .	B-PP B-VP B-NP I-NP B-PP B-NP B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP O B-NP I-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP B-NP B-VP B-NP B-PP B-NP I-NP B-PP B-NP I-NP O	barton	hold appointment at	bell labs
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Barton.txt	1028	she	worked with	R.G. Shulman	21	22	22	24	24	26	0.28559432310575794	After earning her Ph.D. from Columbia in 1979 , Barton held post-doctoral appointments at Bell Labs and Yale University , where she worked with R.G. Shulman She earned tenure at Columbia University in the 1980s .	IN VBG PRP$ NNP IN NNP IN CD , NNP VBD JJ NNS IN NNP NNP CC NNP NNP , WRB PRP VBD IN NNP NNP PRP VBD NN IN NNP NNP IN DT CD .	B-PP B-VP B-NP I-NP B-PP B-NP B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP O B-NP I-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP B-NP B-VP B-NP B-PP B-NP I-NP B-PP B-NP I-NP O	she	work with	r.g. shulman
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Barton.txt	1028	She	earned	tenure	26	27	27	28	28	29	0.0921242032330337	After earning her Ph.D. from Columbia in 1979 , Barton held post-doctoral appointments at Bell Labs and Yale University , where she worked with R.G. Shulman She earned tenure at Columbia University in the 1980s .	IN VBG PRP$ NNP IN NNP IN CD , NNP VBD JJ NNS IN NNP NNP CC NNP NNP , WRB PRP VBD IN NNP NNP PRP VBD NN IN NNP NNP IN DT CD .	B-PP B-VP B-NP I-NP B-PP B-NP B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP O B-NP I-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP B-NP B-VP B-NP B-PP B-NP I-NP B-PP B-NP I-NP O	she	earn	tenure
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Barton.txt	1029	her main focus	was the use of	organo-ruthenium complexes	3	6	6	10	10	12	0.061401789732778586	During that time her main focus was the use of organo-ruthenium complexes to probe the physical conformations of DNA .	IN DT NN PRP$ JJ NN VBD DT NN IN NN NNS TO VB DT JJ NNS IN NNP .	B-PP B-NP I-NP B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP O	her main focus	be use of	organo-ruthenium complexes
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacqueline Barton.txt	1030	Barton	eventually moved to	Caltech	0	1	1	4	4	5	0.9811851367835542	Barton eventually moved to Caltech , where her research has focused on charge transport in DNA .	NNP RB VBD TO NNP , WRB PRP$ NN VBZ VBN IN NN NN IN NNP .	B-NP B-ADVP B-VP B-PP B-NP O B-ADVP B-NP I-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP O	barton	move to	caltech
