/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2092	Jacques Amyot	was born of	poor parents	0	2	9	12	12	14	0.8928336753661167	Jacques Amyot , French Renaissance writer and translator , was born of poor parents , at Melun .	NNP NNP , NNP NNP NN CC NN , VBD VBN IN JJ NNS , IN NNP .	B-NP I-NP O B-NP I-NP I-NP I-NP I-NP O B-VP I-VP B-PP B-NP I-NP O B-PP B-NP O	jacques amyot	bear of	poor parents
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2093	He	found his way to	the University of Paris	0	1	1	5	5	9	0.9395734781800265	He found his way to the University of Paris , where he supported himself by serving some of the richer students .	PRP VBD PRP$ NN TO DT NNP IN NNP , WRB PRP VBD PRP IN VBG DT IN DT JJR NNS .	B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-ADVP B-NP B-VP B-NP B-PP B-VP B-NP I-NP I-NP I-NP I-NP O	he	find way to	the university of paris
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2093	he	supported	himself	11	12	12	13	13	14	0.03525020857502361	He found his way to the University of Paris , where he supported himself by serving some of the richer students .	PRP VBD PRP$ NN TO DT NNP IN NNP , WRB PRP VBD PRP IN VBG DT IN DT JJR NNS .	B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-ADVP B-NP B-VP B-NP B-PP B-VP B-NP I-NP I-NP I-NP I-NP O	he	support	himself
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2094	He	was	nineteen	0	1	1	2	2	3	0.3704611538277285	He was nineteen when he became M.A. at Paris , and later he graduated doctor of civil law at Bourges .	PRP VBD CD WRB PRP VBD NNP IN NNP , CC RB PRP VBD NN IN JJ NN IN NNP .	B-NP B-VP B-NP B-ADVP B-NP B-VP B-NP B-PP B-NP O O B-ADVP B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP O	he	be	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2094	he	became	M.A.	4	5	5	6	6	7	0.4257538620352172	He was nineteen when he became M.A. at Paris , and later he graduated doctor of civil law at Bourges .	PRP VBD CD WRB PRP VBD NNP IN NNP , CC RB PRP VBD NN IN JJ NN IN NNP .	B-NP B-VP B-NP B-ADVP B-NP B-VP B-NP B-PP B-NP O O B-ADVP B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP O	he	become	m.a.
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2094	he	graduated	doctor of civil law	12	13	13	14	14	18	0.18415999559209856	He was nineteen when he became M.A. at Paris , and later he graduated doctor of civil law at Bourges .	PRP VBD CD WRB PRP VBD NNP IN NNP , CC RB PRP VBD NN IN JJ NN IN NNP .	B-NP B-VP B-NP B-ADVP B-NP B-VP B-NP B-PP B-NP O O B-ADVP B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP O	he	graduate	doctor of civil law
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2095	he	obtained	a tutorship	12	13	13	14	14	16	0.19915411658080193	Through Jacques Colure , abbot of St . Ambrose in Bourges , he obtained a tutorship in the family of a secretary of state .	IN NNP NNP , NN IN NNP . NNP IN NNP , PRP VBD DT NN IN DT NN IN DT NN IN NN .	B-PP B-NP I-NP O B-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	obtain	a tutorship
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2096	he	was recommended to	Margaret of France	3	4	4	7	7	10	0.7279640445676203	By the secretary he was recommended to Margaret of France , Duchess of Berry , and through her influence was made professor of Greek and Latin at Bourges .	IN DT NN PRP VBD VBN TO NNP IN NNP , NNP IN NNP , CC IN PRP$ NN VBD VBN NN IN NNP CC NNP IN NNP .	B-PP B-NP I-NP B-NP B-VP I-VP B-PP B-NP I-NP I-NP O B-NP I-NP I-NP O O B-PP B-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O	he	recommend to	margaret of france
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2096	her influence	was made professor of	Greek and Latin	17	19	19	23	23	26	0.897217851021424	By the secretary he was recommended to Margaret of France , Duchess of Berry , and through her influence was made professor of Greek and Latin at Bourges .	IN DT NN PRP VBD VBN TO NNP IN NNP , NNP IN NNP , CC IN PRP$ NN VBD VBN NN IN NNP CC NNP IN NNP .	B-PP B-NP I-NP B-NP B-VP I-VP B-PP B-NP I-NP I-NP O B-NP I-NP I-NP O O B-PP B-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP O	her influence	make professor of	greek and latin
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2097	he	translated	Theagene et Chariclée	1	2	2	3	3	6	0.4257538620352172	Here he translated Theagene et Chariclée from Heliodorus , for which he was rewarded by Francis I with the abbey of Bellozane .	RB PRP VBD NNP NNP NNP IN NNP , IN WDT PRP VBD VBN IN NNP PRP IN DT NN IN NNP .	B-ADVP B-NP B-VP B-NP I-NP I-NP B-PP B-NP O B-PP B-NP B-NP B-VP I-VP B-PP B-NP B-NP B-PP B-NP I-NP I-NP I-NP O	he	translate	theagene et chariclée
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2097	he	was rewarded by	Francis	11	12	12	15	15	16	0.33038727288105885	Here he translated Theagene et Chariclée from Heliodorus , for which he was rewarded by Francis I with the abbey of Bellozane .	RB PRP VBD NNP NNP NNP IN NNP , IN WDT PRP VBD VBN IN NNP PRP IN DT NN IN NNP .	B-ADVP B-NP B-VP B-NP I-NP I-NP B-PP B-NP O B-PP B-NP B-NP B-VP I-VP B-PP B-NP B-NP B-PP B-NP I-NP I-NP I-NP O	he	reward by	francis
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2098	he	had been	some time	22	23	23	25	25	27	0.010729099692093366	He was thus enabled to go to Italy to study the Vatican text of Plutarch , on the translation of whose Lives he had been some time engaged .	PRP VBD RB VBN TO VB TO NNP TO VB DT NNP NN IN NNP , IN DT NN IN WP$ NNS PRP VBD VBN DT NN VBN .	B-NP B-VP I-VP I-VP I-VP I-VP B-PP B-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP B-NP B-VP I-VP B-NP I-NP B-VP O	he	be	some time
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2099	he	turned aside on	a mission	3	4	4	7	7	9	0.7814843869253768	On the way he turned aside on a mission to the Council of Trent .	IN DT NN PRP VBD RB IN DT NN TO DT NNP IN NNP .	B-PP B-NP I-NP B-NP B-VP B-ADVP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O	he	turn on	a mission
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2100	he	was appointed	tutor	3	4	4	6	6	7	0.028082209764999602	Returning home , he was appointed tutor to the sons of Henry II , by one of whom was appointed , in spite of his plebeian origin , commander of the Order of the Holy Spirit .	VBG NN , PRP VBD VBN NN TO DT NNS IN NNP NNP , IN CD IN WP VBD VBN , IN NN IN PRP$ JJ NN , NN IN DT NN IN DT NNP NNP .	B-VP B-NP O B-NP B-VP I-VP B-NP B-PP B-NP I-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP B-VP I-VP O B-PP B-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	appoint	tutor
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Amyot.txt	2101	Pius V	promoted	him	0	2	2	3	3	4	0.06434406651604942	Pius V promoted him to the bishopric of Auxerre , and here he continued to live in comparative quiet , repairing his cathedral and perfecting his translations , for the rest of his days , though troubled towards the close by the insubordination and revolts of his clergy .	NNP NNP VBD PRP TO DT NN IN NNP , CC RB PRP VBD TO VB IN JJ JJ , VBG PRP$ NN CC VBG PRP$ NNS , IN DT NN IN PRP$ NNS , IN VBN IN DT NN IN DT NN CC NNS IN PRP$ NN .	B-NP I-NP B-VP B-NP B-PP B-NP I-NP I-NP I-NP O O B-ADVP B-NP B-VP I-VP I-VP B-PP B-NP I-NP O B-VP B-NP I-NP O B-VP B-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP O B-SBAR B-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	pius v	promote	him
