/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5586	Jacques Henry Kallis	is	a South African cricketer	0	3	3	4	4	8	0.9999999998901186	Jacques Henry Kallis is a South African cricketer .	NNP NNP NNP VBZ DT JJ JJ NN .	B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP O	jacques henry kallis	be	a south african cricketer
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5587	he	is	a formidable right-handed batsman	3	4	4	5	5	9	0.0916566902275504	As an all-rounder he is a formidable right-handed batsman and fast-medium swingbowler .	IN DT NN PRP VBZ DT JJ JJ NN CC JJ NN .	B-PP B-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP O B-NP I-NP O	he	be	a formidable right-handed batsman
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5588	He	is one of	the greatest all-rounders of all time	0	1	1	4	4	10	0.4129734048390179	He is one of the greatest all-rounders of all time , being the only cricketer in the history of the game to hold more than 12,000 runs and 250 wickets in both one day and Test match cricket .	PRP VBZ CD IN DT JJS NNS IN DT NN , VBG DT JJ NN IN DT NN IN DT NN TO VB JJR IN CD NNS CC CD NNS IN DT CD NN CC NNP VBP NN .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP O B-NP I-NP B-PP B-NP I-NP I-NP O B-NP B-VP B-NP O	he	be one of	the greatest all-rounders of all time
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5588	Test	match	cricket	35	36	36	37	37	38	0.5831250753363216	He is one of the greatest all-rounders of all time , being the only cricketer in the history of the game to hold more than 12,000 runs and 250 wickets in both one day and Test match cricket .	PRP VBZ CD IN DT JJS NNS IN DT NN , VBG DT JJ NN IN DT NN IN DT NN TO VB JJR IN CD NNS CC CD NNS IN DT CD NN CC NNP VBP NN .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP O B-NP I-NP B-PP B-NP I-NP I-NP O B-NP B-VP B-NP O	test	match	cricket
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5589	He	has played in	150 Tests	0	1	1	4	4	6	0.5636241526884552	He has played in 150 Tests , boasting a batting average of over 55 .	PRP VBZ VBN IN CD NNS , VBG DT VBG NN IN IN CD .	B-NP B-VP I-VP B-PP B-NP I-NP O B-VP B-NP I-NP I-NP I-NP I-NP I-NP O	he	play in	# tests
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5590	he	produced	a streak of five centuries	3	4	4	5	5	10	0.0921242032330337	From October–December 2007 he produced a streak of five centuries in four Test Matches ; with his century in the second innings of the third test against India in January 2011 , his 40th in all , he moved past Ricky Ponting to become the second highest scorer of Test centuries , behind only Sachin Tendulkar who currently has 51 centuries .	IN NNP CD PRP VBD DT NN IN CD NNS IN CD JJ NNS : IN PRP$ NN IN DT JJ NN IN DT JJ NN IN NNP IN NNP CD , PRP$ JJ IN DT , PRP VBD IN NNP NNP TO VB DT JJ JJS NN IN NNP NNS , IN JJ NNP NNP WP RB VBZ CD NNS .	B-PP B-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP O B-NP I-NP B-PP B-NP O B-NP B-VP B-PP B-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP B-NP B-ADVP B-VP B-NP I-NP O	he	produce	a streak of # centuries
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5590	he	moved past	Ricky Ponting	37	38	38	40	40	42	0.07675541951111702	From October–December 2007 he produced a streak of five centuries in four Test Matches ; with his century in the second innings of the third test against India in January 2011 , his 40th in all , he moved past Ricky Ponting to become the second highest scorer of Test centuries , behind only Sachin Tendulkar who currently has 51 centuries .	IN NNP CD PRP VBD DT NN IN CD NNS IN CD JJ NNS : IN PRP$ NN IN DT JJ NN IN DT JJ NN IN NNP IN NNP CD , PRP$ JJ IN DT , PRP VBD IN NNP NNP TO VB DT JJ JJS NN IN NNP NNS , IN JJ NNP NNP WP RB VBZ CD NNS .	B-PP B-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP O B-NP I-NP B-PP B-NP O B-NP B-VP B-PP B-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP B-NP B-ADVP B-VP B-NP I-NP O	he	move past	ricky ponting
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5590	only Sachin Tendulkar	currently has	51 centuries	53	56	57	59	59	61	0.5845538330518046	From October–December 2007 he produced a streak of five centuries in four Test Matches ; with his century in the second innings of the third test against India in January 2011 , his 40th in all , he moved past Ricky Ponting to become the second highest scorer of Test centuries , behind only Sachin Tendulkar who currently has 51 centuries .	IN NNP CD PRP VBD DT NN IN CD NNS IN CD JJ NNS : IN PRP$ NN IN DT JJ NN IN DT JJ NN IN NNP IN NNP CD , PRP$ JJ IN DT , PRP VBD IN NNP NNP TO VB DT JJ JJS NN IN NNP NNS , IN JJ NNP NNP WP RB VBZ CD NNS .	B-PP B-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP O B-NP I-NP B-PP B-NP O B-NP B-VP B-PP B-NP I-NP B-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP B-NP B-ADVP B-VP B-NP I-NP O	only sachin tendulkar	have	# centuries
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5592	He	has been described by	Kevin Pietersen	0	1	1	5	5	7	0.8190740970411744	He has been described by Kevin Pietersen and Daryll Cullinan as the greatest cricketer to play the game , and along with Walter Hammond and Sir Garry Sobers is one of the few Test all-rounders whose Test batting average is over 50 and exceeds his Test bowling average by 20 or more .	PRP VBZ VBN VBN IN NNP NNP CC NNP NNP IN DT JJS NN TO VB DT NN , CC IN IN NNP NNP CC NNP NNP NNP VBZ CD IN DT JJ JJ NNS WP$ JJ VBG NN VBZ IN CD CC VBZ PRP$ JJ NN NN IN CD CC JJR .	B-NP B-VP I-VP I-VP B-PP B-NP I-NP O B-NP I-NP B-PP B-NP I-NP I-NP B-VP I-VP B-NP I-NP O O B-PP B-PP B-NP I-NP O B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	he	describe by	kevin pietersen
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5592	Sir Garry Sobers	is one of	the few Test all-rounders	25	28	28	31	31	35	0.1991192333083316	He has been described by Kevin Pietersen and Daryll Cullinan as the greatest cricketer to play the game , and along with Walter Hammond and Sir Garry Sobers is one of the few Test all-rounders whose Test batting average is over 50 and exceeds his Test bowling average by 20 or more .	PRP VBZ VBN VBN IN NNP NNP CC NNP NNP IN DT JJS NN TO VB DT NN , CC IN IN NNP NNP CC NNP NNP NNP VBZ CD IN DT JJ JJ NNS WP$ JJ VBG NN VBZ IN CD CC VBZ PRP$ JJ NN NN IN CD CC JJR .	B-NP B-VP I-VP I-VP B-PP B-NP I-NP O B-NP I-NP B-PP B-NP I-NP I-NP B-VP I-VP B-NP I-NP O O B-PP B-PP B-NP I-NP O B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	sir garry sobers	be one of	the few test all-rounders
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5592	one of the few Test all-rounders	is over	50	29	35	39	41	41	42	0.3198755424541084	He has been described by Kevin Pietersen and Daryll Cullinan as the greatest cricketer to play the game , and along with Walter Hammond and Sir Garry Sobers is one of the few Test all-rounders whose Test batting average is over 50 and exceeds his Test bowling average by 20 or more .	PRP VBZ VBN VBN IN NNP NNP CC NNP NNP IN DT JJS NN TO VB DT NN , CC IN IN NNP NNP CC NNP NNP NNP VBZ CD IN DT JJ JJ NNS WP$ JJ VBG NN VBZ IN CD CC VBZ PRP$ JJ NN NN IN CD CC JJR .	B-NP B-VP I-VP I-VP B-PP B-NP I-NP O B-NP I-NP B-PP B-NP I-NP I-NP B-VP I-VP B-NP I-NP O O B-PP B-PP B-NP I-NP O B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	# of the few test all-rounders	be over	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5592	one of the few Test all-rounders	exceeds	his Test bowling average	29	35	43	44	44	48	0.3975842079995713	He has been described by Kevin Pietersen and Daryll Cullinan as the greatest cricketer to play the game , and along with Walter Hammond and Sir Garry Sobers is one of the few Test all-rounders whose Test batting average is over 50 and exceeds his Test bowling average by 20 or more .	PRP VBZ VBN VBN IN NNP NNP CC NNP NNP IN DT JJS NN TO VB DT NN , CC IN IN NNP NNP CC NNP NNP NNP VBZ CD IN DT JJ JJ NNS WP$ JJ VBG NN VBZ IN CD CC VBZ PRP$ JJ NN NN IN CD CC JJR .	B-NP B-VP I-VP I-VP B-PP B-NP I-NP O B-NP I-NP B-PP B-NP I-NP I-NP B-VP I-VP B-NP I-NP O O B-PP B-PP B-NP I-NP O B-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	# of the few test all-rounders	exceed	his test bowling average
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5593	Kallis	played cricket for	Wynberg Boys ' High School	0	1	3	6	6	11	0.9907448942252713	Kallis attended and played cricket for Wynberg Boys ' High School .	NNP VBD CC VBD NN IN NNP NNPS POS NNP NNP .	B-NP B-VP O B-VP B-NP B-PP B-NP I-NP I-NP I-NP I-NP O	kallis	play cricket for	wynberg boys ' high school
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Kallis.txt	5594	Wynberg	honoured	Kallis	3	4	4	5	5	6	0.9059944442645228	In 2009 , Wynberg honoured Kallis by naming their main cricket oval after him .	IN CD , NNP VBD NNP IN VBG PRP$ JJ NN NN IN PRP .	B-PP B-NP O B-NP B-VP B-NP B-PP B-VP B-NP I-NP I-NP I-NP B-PP B-NP O	wynberg	honour	kallis
