/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7661	Jacques Poos	is	a Luxembourgian politician	0	2	2	3	3	6	0.9999999998901186	Jacques Poos is a Luxembourgian politician .	NNP NNP VBZ DT JJ NN .	B-NP I-NP B-VP B-NP I-NP I-NP O	jacques poos	be	a luxembourgian politician
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7662	Luxembourg Dr. Jacques F. Poos	is	a trained economist	4	9	9	10	10	13	0.7758873455144851	Born in 1953 in Luxembourg Dr. Jacques F. Poos is a trained economist and became a doctor of economics in 1961 , when he graduated from the University of Lausanne .	VBN IN CD IN NNP NNP NNP NNP NNP VBZ DT JJ NN CC VBD DT NN IN NNS IN CD , WRB PRP VBD IN DT NNP IN NNP .	B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-PP B-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP I-NP I-NP O	luxembourg dr. jacques f. poos	be	a trained economist
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7662	Luxembourg Dr. Jacques F. Poos	became a doctor of	economics	4	9	14	18	18	19	0.81426234177588	Born in 1953 in Luxembourg Dr. Jacques F. Poos is a trained economist and became a doctor of economics in 1961 , when he graduated from the University of Lausanne .	VBN IN CD IN NNP NNP NNP NNP NNP VBZ DT JJ NN CC VBD DT NN IN NNS IN CD , WRB PRP VBD IN DT NNP IN NNP .	B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-PP B-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP I-NP I-NP O	luxembourg dr. jacques f. poos	become doctor of	economics
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7662	he	graduated from	the University of Lausanne	23	24	24	26	26	30	0.43881088049178546	Born in 1953 in Luxembourg Dr. Jacques F. Poos is a trained economist and became a doctor of economics in 1961 , when he graduated from the University of Lausanne .	VBN IN CD IN NNP NNP NNP NNP NNP VBZ DT JJ NN CC VBD DT NN IN NNS IN CD , WRB PRP VBD IN DT NNP IN NNP .	B-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-PP B-NP O B-ADVP B-NP B-VP B-PP B-NP I-NP I-NP I-NP O	he	graduate from	the university of lausanne
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7663	He	is a long-time member of	the Luxembourg Socialist Workers ' Party	0	1	1	6	6	12	0.9999999995811051	He is a long-time member of the Luxembourg Socialist Workers ' Party .	PRP VBZ DT JJ NN IN DT NNP NNP NNPS POS NNP .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	be member of	the luxembourg socialist workers ' party
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7664	he	received an honorary doctor of	law degree	2	3	3	8	8	10	0.10193809931976623	In 2003 he received an honorary doctor of law degree from Panteion University of Athens , Greece .	IN CD PRP VBD DT JJ NN IN NN NN IN NNP NNP IN NNP , NNP .	B-PP B-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP O	he	receive doctor of	law degree
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7665	he	was	director and editor	4	5	5	6	6	9	0.0921242032330337	Between 1964 andn 1976 he was director and editor in Chief of the daily newspaper ‚ÄúTageblatt‚Äù in Esch-sur-Alzette .	IN CD IN CD PRP VBD NN CC NN IN NNP IN DT JJ NN NN IN NNP .	B-PP B-NP B-PP B-NP B-NP B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O	he	be	director and editor
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7666	he	also became a member of	the town council of Esch-sur-Alzette	4	5	5	10	10	15	0.2318711367782861	In the same period he also became a member of the town council of Esch-sur-Alzette .	IN DT JJ NN PRP RB VBD DT NN IN DT NN NN IN NNP .	B-PP B-NP I-NP I-NP B-NP B-ADVP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	become member of	the town council of esch-sur-alzette
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7667	he	was appointed as	Minister of Finance	3	4	4	7	7	10	0.54320784578465	In July 1976 he was appointed as Minister of Finance .	IN NNP CD PRP VBD VBN IN NNP IN NNP .	B-PP B-NP I-NP B-NP B-VP I-VP B-PP B-NP I-NP I-NP O	he	appoint as	minister of finance
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7668	he	held Presidency of	the Council of the European Union	6	7	7	10	10	16	0.23900631540897324	As the foreign minister of Luxembourg he held Presidency of the Council of the European Union for three half-year terms in 1985 , 1991 and 1997 .	IN DT JJ NN IN NNP PRP VBD NNP IN DT NNP IN DT NNP NNP IN CD JJ NNS IN CD , CD CC CD .	B-SBAR B-NP I-NP I-NP I-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP O B-NP I-NP I-NP O	he	hold presidency of	the council of the european union
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Poos.txt	7669	He	was	Deputy-Prime Minister	0	1	1	2	2	4	0.6590306934813647	He was Deputy-Prime Minister and Minister of Foreign Affairs , Foreign Trade and Development , first in Jacques Santer‚Äôs¬ † .	PRP VBD NNP NNP CC NNP IN NNP NNP , NNP NNP CC NNP , RB IN NNP NNP NNP .	B-NP B-VP B-NP I-NP O B-NP I-NP I-NP I-NP O B-NP I-NP I-NP I-NP O B-ADVP B-PP B-NP I-NP I-NP O	he	be	deputy-prime minister
