/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8137	Jacques Hugues Sylla	was	a Malagasy politician	0	3	3	4	4	7	0.9999999999144422	Jacques Hugues Sylla was a Malagasy politician .	NNP NNP NNP VBD DT JJ NN .	B-NP I-NP I-NP B-VP B-NP I-NP I-NP O	jacques hugues sylla	be	a malagasy politician
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8138	He	was the Prime Minister of	Madagascar	0	1	1	6	6	7	0.5878264246567749	He was the Prime Minister of Madagascar under President Marc Ravalomanana from February 2002 until January 2007 .	PRP VBD DT NNP NNP IN NNP IN NNP NNP NNP IN NNP CD IN NNP CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP I-NP B-PP B-NP I-NP O	he	be prime minister of	madagascar
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8139	He	subsequently served as	the President of the National Assembly of Madagascar	0	1	1	4	4	12	0.624153827226402	He subsequently served as the President of the National Assembly of Madagascar from 2007 until 2009 .	PRP RB VBD IN DT NNP IN DT NNP NNP IN NNP IN CD IN CD .	B-NP B-ADVP B-VP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP O	he	serve as	the president of the national assembly of madagascar
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8140	Sylla	was born on	the island of Sainte-Marie	0	1	1	4	4	8	0.9999379544422443	Sylla was born on the island of Sainte-Marie , Analanjirofo , off the east coast of Madagascar .	NNP VBD VBN IN DT NN IN NNP , NNP , IN DT JJ NN IN NNP .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP O B-NP O B-PP B-NP I-NP I-NP I-NP I-NP O	sylla	bear on	the island of sainte-marie
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8141	He	is the son of	Albert Sylla	0	1	1	5	5	7	0.6979446844315045	He is the son of Albert Sylla , who served as Foreign Minister under Madagascar 's first president , Philibert Tsiranana , until being killed in a plane crash in July 1967 .	PRP VBZ DT NN IN NNP NNP , WP VBD IN NNP NNP IN NNP POS JJ NN , NNP NNP , IN VBG VBN IN DT NN NN IN NNP CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP O B-PP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP O	he	be son of	albert sylla
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8141	the son of Albert Sylla	served as	Foreign Minister	2	7	9	11	11	13	0.806245910904174	He is the son of Albert Sylla , who served as Foreign Minister under Madagascar 's first president , Philibert Tsiranana , until being killed in a plane crash in July 1967 .	PRP VBZ DT NN IN NNP NNP , WP VBD IN NNP NNP IN NNP POS JJ NN , NNP NNP , IN VBG VBN IN DT NN NN IN NNP CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP O B-PP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP O	the son of albert sylla	serve as	foreign minister
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8142	He	served as	Foreign Minister	0	1	1	3	3	5	0.4493461338097199	He served as Foreign Minister himself from 1993 to 1996 , under President Albert Zafy .	PRP VBD IN NNP NNP PRP IN CD TO CD , IN NNP NNP NNP .	B-NP B-VP B-PP B-NP I-NP B-NP B-PP B-NP B-PP B-NP O B-PP B-NP I-NP I-NP O	he	serve as	foreign minister
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8143	He	was an opponent of	President Didier Ratsiraka	0	1	1	5	5	8	0.5902235498135121	He was an opponent of President Didier Ratsiraka and was one of the lawyers advising Marc Ravalomanana when he was elected Mayor of Antananarivo in 1999 .	PRP VBD DT NN IN NNP NNP NNP CC VBD CD IN DT NNS VBG NNP NNP WRB PRP VBD VBN NNP IN NNP IN CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-VP B-NP I-NP B-ADVP B-NP B-VP I-VP B-NP I-NP I-NP B-PP B-NP O	he	be opponent of	president didier ratsiraka
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8143	He	was one of	the lawyers	0	1	9	12	12	14	0.03767679297360534	He was an opponent of President Didier Ratsiraka and was one of the lawyers advising Marc Ravalomanana when he was elected Mayor of Antananarivo in 1999 .	PRP VBD DT NN IN NNP NNP NNP CC VBD CD IN DT NNS VBG NNP NNP WRB PRP VBD VBN NNP IN NNP IN CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-VP B-NP I-NP B-ADVP B-NP B-VP I-VP B-NP I-NP I-NP B-PP B-NP O	he	be one of	the lawyers
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8143	he	was elected Mayor of	Antananarivo	18	19	19	23	23	24	0.17114260697633704	He was an opponent of President Didier Ratsiraka and was one of the lawyers advising Marc Ravalomanana when he was elected Mayor of Antananarivo in 1999 .	PRP VBD DT NN IN NNP NNP NNP CC VBD CD IN DT NNS VBG NNP NNP WRB PRP VBD VBN NNP IN NNP IN CD .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP I-NP B-VP B-NP I-NP B-ADVP B-NP B-VP I-VP B-NP I-NP I-NP B-PP B-NP O	he	elect mayor of	antananarivo
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8144	Sylla	was also a founder of	the Toamasina section of the National Committee	0	1	1	6	6	13	0.943908204426886	Sylla was also a founder of the Toamasina section of the National Committee for the Observation of Elections .	NNP VBD RB DT NN IN DT NNP NN IN DT NNP NNP IN DT NNP IN NNP .	B-NP B-VP B-ADVP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	sylla	be founder of	the toamasina section of the national committee
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8145	Sylla	backed	Ravalomanana	0	1	1	2	2	3	0.9001448605466735	Sylla backed Ravalomanana in the crisis that followed the December 2001 presidential election and argued Ravalomanana 's case before the High Constitutional Court .	NNP VBD NNP IN DT NN WDT VBD DT NNP CD JJ NN CC VBD NNP POS NN IN DT NNP NNP NNP .	B-NP B-VP B-NP B-PP B-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	sylla	back	ravalomanana
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8145	the crisis	followed	the December 2001 presidential election	4	6	7	8	8	13	0.27813201676996485	Sylla backed Ravalomanana in the crisis that followed the December 2001 presidential election and argued Ravalomanana 's case before the High Constitutional Court .	NNP VBD NNP IN DT NN WDT VBD DT NNP CD JJ NN CC VBD NNP POS NN IN DT NNP NNP NNP .	B-NP B-VP B-NP B-PP B-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	the crisis	follow	the december # presidential election
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8145	the crisis	argued	Ravalomanana 's case	4	6	14	15	15	18	0.41446518831919754	Sylla backed Ravalomanana in the crisis that followed the December 2001 presidential election and argued Ravalomanana 's case before the High Constitutional Court .	NNP VBD NNP IN DT NN WDT VBD DT NNP CD JJ NN CC VBD NNP POS NN IN DT NNP NNP NNP .	B-NP B-VP B-NP B-PP B-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O	the crisis	argue	ravalomanana 's case
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8146	Ravalomanana	named	Sylla	13	14	14	15	15	16	0.8840108883928282	On February 26 , 2002 , in the midst of the crisis , Ravalomanana named Sylla as Prime Minister , a few days after Ravalomanana declared himself president .	IN NNP CD , CD , IN DT NN IN DT NN , NNP VBD NNP IN NNP NNP , DT JJ NNS IN NNP VBD PRP NN .	B-PP B-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-NP B-PP B-NP I-NP O B-NP I-NP I-NP B-PP B-NP B-VP B-NP B-NP O	ravalomanana	name	sylla
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8146	Ravalomanana	declared	himself	24	25	25	26	26	27	0.02894980959956137	On February 26 , 2002 , in the midst of the crisis , Ravalomanana named Sylla as Prime Minister , a few days after Ravalomanana declared himself president .	IN NNP CD , CD , IN DT NN IN DT NN , NNP VBD NNP IN NNP NNP , DT JJ NNS IN NNP VBD PRP NN .	B-PP B-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP B-NP B-PP B-NP I-NP O B-NP I-NP I-NP B-PP B-NP B-VP B-NP B-NP O	ravalomanana	declare	himself
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8147	Ravalomanana	was sworn in for	a second time	1	2	2	6	6	9	0.954669671366032	After Ravalomanana was sworn in for a second time in early May , Sylla was reappointed as Prime Minister on May 9 .	IN NNP VBD VBN IN IN DT JJ NN IN JJ NNP , NNP VBD VBN IN NNP NNP IN NNP CD .	B-SBAR B-NP B-VP I-VP B-PRT B-PP B-NP I-NP I-NP B-PP B-NP I-NP O B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP O	ravalomanana	swear in for	a second time
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8147	Sylla	was reappointed as	Prime Minister	13	14	14	17	17	19	0.9820791815468894	After Ravalomanana was sworn in for a second time in early May , Sylla was reappointed as Prime Minister on May 9 .	IN NNP VBD VBN IN IN DT JJ NN IN JJ NNP , NNP VBD VBN IN NNP NNP IN NNP CD .	B-SBAR B-NP B-VP I-VP B-PRT B-PP B-NP I-NP I-NP B-PP B-NP I-NP O B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP O	sylla	reappoint as	prime minister
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8148	Sylla	became the Secretary General of	the ruling	4	5	5	10	10	12	0.46447775481871073	Later in 2002 , Sylla became the Secretary General of the ruling Tiako I Madagasikara party ; this marked the first time that he had ever been a member of a political party .	RB IN CD , NNP VBD DT NNP NNP IN DT NN NNP PRP NNP NN : DT VBD DT JJ NN IN PRP VBD RB VBN DT NN IN DT JJ NN .	B-ADVP B-PP B-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-NP B-NP B-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-SBAR B-NP B-VP I-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP O	sylla	become secretary general of	the ruling
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8148	this	marked	the first time	17	18	18	19	19	22	0.13389005900018353	Later in 2002 , Sylla became the Secretary General of the ruling Tiako I Madagasikara party ; this marked the first time that he had ever been a member of a political party .	RB IN CD , NNP VBD DT NNP NNP IN DT NN NNP PRP NNP NN : DT VBD DT JJ NN IN PRP VBD RB VBN DT NN IN DT JJ NN .	B-ADVP B-PP B-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-NP B-NP B-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-SBAR B-NP B-VP I-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP O	this	mark	the first time
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8148	he	had ever been a member of	a political party	23	24	24	30	30	33	0.2194067306761565	Later in 2002 , Sylla became the Secretary General of the ruling Tiako I Madagasikara party ; this marked the first time that he had ever been a member of a political party .	RB IN CD , NNP VBD DT NNP NNP IN DT NN NNP PRP NNP NN : DT VBD DT JJ NN IN PRP VBD RB VBN DT NN IN DT JJ NN .	B-ADVP B-PP B-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-NP B-NP B-NP I-NP O B-NP B-VP B-NP I-NP I-NP B-SBAR B-NP B-VP I-VP I-VP B-NP I-NP I-NP I-NP I-NP I-NP O	he	be member of	a political party
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8149	Sylla	resigned as	Prime Minister	0	1	1	3	3	5	0.8828945136478883	Sylla resigned as Prime Minister on 19 January 2007 , at the end of Ravalomanana 's first term ; his resignation was accepted by Ravalomanana , who appointed Charles Rabemananjara as Prime Minister on 20 January .	NNP VBD IN NNP NNP IN CD NNP CD , IN DT NN IN NNP POS JJ NN : PRP$ NN VBD VBN IN NNP , WP VBD NNP NNP IN NNP NNP IN CD NNP .	B-NP B-VP B-PP B-NP I-NP B-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-VP I-VP B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-NP I-NP I-NP O	sylla	resign as	prime minister
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Sylla.txt	8149	his resignation	was accepted by	Ravalomanana	19	21	21	24	24	25	0.9665749351561859	Sylla resigned as Prime Minister on 19 January 2007 , at the end of Ravalomanana 's first term ; his resignation was accepted by Ravalomanana , who appointed Charles Rabemananjara as Prime Minister on 20 January .	NNP VBD IN NNP NNP IN CD NNP CD , IN DT NN IN NNP POS JJ NN : PRP$ NN VBD VBN IN NNP , WP VBD NNP NNP IN NNP NNP IN CD NNP .	B-NP B-VP B-PP B-NP I-NP B-NP I-NP I-NP I-NP O B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-VP I-VP B-PP B-NP O B-NP B-VP B-NP I-NP B-PP B-NP I-NP B-NP I-NP I-NP O	his resignation	accept by	ravalomanana
