/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8395	Uncle Jacques	is	a Canadian racer	9	11	11	12	12	15	0.3403943705051714	Jacques Villeneuve Sr . also known as Jacquo or Uncle Jacques is a Canadian racer .	NNP NNP NNP . RB VBN IN NNP CC NNP NNP VBZ DT JJ NN .	B-NP I-NP I-NP B-VP I-VP I-VP B-PP B-NP O B-NP I-NP B-VP B-NP I-NP I-NP O	uncle jacques	be	a canadian racer
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8396	He	is the younger brother of	the late Gilles Villeneuve	0	1	1	6	6	10	0.6979446844315045	He is the younger brother of the late Gilles Villeneuve , and uncle to Jacques Villeneuve .	PRP VBZ DT JJR NN IN DT JJ NNP NNP , CC NN TO NNP NNP .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP B-PP B-NP I-NP O	he	be younger brother of	the late gilles villeneuve
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8397	He	was born in	the small town of Berthierville	0	1	1	4	4	9	0.9580809391366125	He was born in the small town of Berthierville , Quebec , Canada .	PRP VBD VBN IN DT JJ NN IN NNP , NNP , NNP .	B-NP B-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP O B-NP O B-NP O	he	bear in	the small town of berthierville
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8398	He	is now frequently known as	Uncle Jacques	0	1	1	6	6	8	0.7799677252801245	He is now frequently known as Uncle Jacques because of the rise of his nephew .	PRP VBZ RB RB VBN IN NNP NNP IN IN DT NN IN PRP$ NN .	B-NP B-VP I-VP I-VP I-VP B-PP B-NP I-NP B-PP I-PP B-NP I-NP I-NP I-NP I-NP O	he	know as	uncle jacques
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8399	He	had	a varied motorsport career	0	1	1	2	2	6	0.48947808379059926	He had a varied motorsport career , taking in Formula Atlantic , CART , Can-Am , snowmobile racing and Formula One , and remains a revered figure in Canadian motorsport circles .	PRP VBD DT JJ NN NN , VBG RP NNP NNP , NNP , NNP , NN NN CC NNP CD , CC VBZ DT JJ NN IN JJ NN NNS .	B-NP B-VP B-NP I-NP I-NP I-NP O B-VP B-NP B-NP I-NP O B-NP O B-NP O B-NP I-NP O B-NP I-NP O O B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	he	have	a varied motorsport career
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8399	snowmobile racing	remains a revered figure in	Canadian motorsport circles	16	18	23	28	28	31	0.7785296434615749	He had a varied motorsport career , taking in Formula Atlantic , CART , Can-Am , snowmobile racing and Formula One , and remains a revered figure in Canadian motorsport circles .	PRP VBD DT JJ NN NN , VBG RP NNP NNP , NNP , NNP , NN NN CC NNP CD , CC VBZ DT JJ NN IN JJ NN NNS .	B-NP B-VP B-NP I-NP I-NP I-NP O B-VP B-NP B-NP I-NP O B-NP O B-NP O B-NP I-NP O B-NP I-NP O O B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP O	snowmobile racing	remain figure in	canadian motorsport circles
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8400	Villeneuve	was the first three time winner of	the World Championship Snowmobile Derby	0	1	1	8	8	13	0.9999999999723574	Villeneuve was the first three time winner of the World Championship Snowmobile Derby .	NNP VBD DT JJ CD NN NN IN DT NNP NNP NNP NNP .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O	villeneuve	be three time winner of	the world championship snowmobile derby
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8401	he	has continued to	race snowmobile events	6	7	7	10	10	13	0.45490387926196757	He started out racing snowmobiles and he has continued to race snowmobile events throughout his career .	PRP VBD RP VBG NNS CC PRP VBZ VBN TO NN NN NNS IN PRP$ NN .	B-NP B-VP B-NP I-NP I-NP O B-NP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP I-NP O	he	continue to	race snowmobile events
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8402	He	moved into	saloon racing	0	1	1	3	3	5	0.33581513542863184	He moved into saloon racing in Canada , winning a Honda Civic series and many races from 1976 to 1978 .	PRP VBD IN NN NN IN NNP , VBG DT NNP NNP NN CC JJ NNS IN CD TO CD .	B-NP B-VP B-PP B-NP I-NP B-PP B-NP O B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP O	he	move into	saloon racing
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8403	He	then stepped up to	the open-wheeler Formula Ford category	0	1	1	5	5	10	0.9290719006530509	He then stepped up to the open-wheeler Formula Ford category , and then Formula Atlantic , where he took Rookie of the Year in 1979 , then consecutive titles in 1980 and 1981 .	PRP RB VBD RB TO DT NN NNP NNP NN , CC RB NNP NNP , WRB PRP VBD NNP IN DT NN IN CD , RB JJ NNS IN CD CC CD .	B-NP B-ADVP B-VP B-ADVP B-PP B-NP I-NP I-NP I-NP I-NP O O O B-NP I-NP O B-ADVP B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP O B-ADVP B-NP I-NP B-PP B-NP O B-NP O	he	step to	the open-wheeler formula ford category
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques Villeneuve (elder).txt	8403	he	took	Rookie of the Year	17	18	18	19	19	23	0.4257538620352172	He then stepped up to the open-wheeler Formula Ford category , and then Formula Atlantic , where he took Rookie of the Year in 1979 , then consecutive titles in 1980 and 1981 .	PRP RB VBD RB TO DT NN NNP NNP NN , CC RB NNP NNP , WRB PRP VBD NNP IN DT NN IN CD , RB JJ NNS IN CD CC CD .	B-NP B-ADVP B-VP B-ADVP B-PP B-NP I-NP I-NP I-NP I-NP O O O B-NP I-NP O B-ADVP B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP O B-ADVP B-NP I-NP B-PP B-NP O B-NP O	he	take	rookie of the year
