/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4497	1160/70 – May 1 , 1240 )	was	a theologian chronicler	0	7	7	8	8	11	0.874111709033325	1160/70 – May 1 , 1240 ) was a theologian chronicler and cardinal from 1229 – 40 .	CD JJ NNP CD , CD -RRB- VBD DT JJ NN CC JJ IN CD NN CD .	B-NP I-NP I-NP I-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP O B-ADVP B-PP B-NP I-NP I-NP O	# ⊓ may # , # )	be	a theologian chronicler
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4498	He	was born in	central France	0	1	1	4	4	6	0.7697972069185278	He was born in central France and studied at the University of Paris , becoming a regular canon in 1210 at the church of Saint-Nicolas d'Oignies in the Diocese of Liège , a post he maintained until 1216 .	PRP VBD VBN IN JJ NNP CC VBD IN DT NNP IN NNP , VBG DT JJ NN IN CD IN DT NN IN NNP NNS IN DT NNP IN NNP , DT NN PRP VBD IN CD .	B-NP B-VP I-VP B-PP B-NP I-NP O B-VP B-PP B-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP B-NP B-VP B-PP B-NP O	he	bear in	central france
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4498	He	studied at	the University of Paris	0	1	7	9	9	13	0.7142717823210175	He was born in central France and studied at the University of Paris , becoming a regular canon in 1210 at the church of Saint-Nicolas d'Oignies in the Diocese of Liège , a post he maintained until 1216 .	PRP VBD VBN IN JJ NNP CC VBD IN DT NNP IN NNP , VBG DT JJ NN IN CD IN DT NN IN NNP NNS IN DT NNP IN NNP , DT NN PRP VBD IN CD .	B-NP B-VP I-VP B-PP B-NP I-NP O B-VP B-PP B-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP B-NP B-VP B-PP B-NP O	he	study at	the university of paris
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4498	he	maintained until	1216	34	35	35	37	37	38	0.07979765415799961	He was born in central France and studied at the University of Paris , becoming a regular canon in 1210 at the church of Saint-Nicolas d'Oignies in the Diocese of Liège , a post he maintained until 1216 .	PRP VBD VBN IN JJ NNP CC VBD IN DT NNP IN NNP , VBG DT JJ NN IN CD IN DT NN IN NNP NNS IN DT NNP IN NNP , DT NN PRP VBD IN CD .	B-NP B-VP I-VP B-PP B-NP I-NP O B-VP B-PP B-NP I-NP I-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP O B-NP I-NP B-NP B-VP B-PP B-NP O	he	maintain until	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4499	he	preached	the Albigensian Crusade	4	5	5	6	6	9	0.3219314797614482	From 1211 to 1213 he preached the Albigensian Crusade , touring France and Germany with William , archdeacon of Paris and recruiting many Crusaders .	IN CD TO CD PRP VBD DT NNP NNP , VBG NNP CC NNP IN NNP , NN IN NNP CC VBG JJ NNPS .	B-PP B-NP B-PP B-NP B-NP B-VP B-NP I-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP O B-NP I-NP I-NP O B-VP B-NP I-NP O	he	preach	the albigensian crusade
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4500	he	was elected Bishop of	Acre	2	3	3	7	7	8	0.2562743082514528	In 1214 he was elected Bishop of Acre .	IN CD PRP VBD VBN NNP IN NNP .	B-PP B-NP B-NP B-VP I-VP B-NP I-NP I-NP O	he	elect bishop of	acre
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4501	He	received	episcopal consecration	0	1	1	2	2	4	0.4112596449266175	He received episcopal consecration and arrived to his see in 1216 .	PRP VBD JJ NN CC VBD TO PRP$ VBP IN CD .	B-NP B-VP B-NP I-NP O B-VP B-PP B-NP I-NP B-PP B-NP O	he	receive	episcopal consecration
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4501	He	arrived to	his see	0	1	5	7	7	9	0.49328663901768527	He received episcopal consecration and arrived to his see in 1216 .	PRP VBD JJ NN CC VBD TO PRP$ VBP IN CD .	B-NP B-VP B-NP I-NP O B-VP B-PP B-NP I-NP B-PP B-NP O	he	arrive to	his see
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4501	his	see in	1216	7	8	8	10	10	11	0.4562527746960878	He received episcopal consecration and arrived to his see in 1216 .	PRP VBD JJ NN CC VBD TO PRP$ VBP IN CD .	B-NP B-VP B-NP I-NP O B-VP B-PP B-NP I-NP B-PP B-NP O	his	see in	#
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4502	He	was subsequentely heavily involved in	the Fifth Crusade	0	1	1	6	6	9	0.8732513906025899	He was subsequentely heavily involved in the Fifth Crusade , participating in the siege of Damietta from 1218 to 1220 .	PRP VBD RB RB VBN IN DT NNP NNP , VBG IN DT NN IN NNP IN CD TO CD .	B-NP B-VP I-VP I-VP I-VP B-PP B-NP I-NP I-NP O B-VP B-PP B-NP I-NP I-NP I-NP B-PP B-NP B-PP B-NP O	he	involve in	the fifth crusade
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques de Vitry.txt	4503	he	began to write	the Historia Hierosolymitana	2	3	3	6	6	9	0.06505157185166435	In 1219 he began to write the Historia Hierosolymitana , a history of the Holy Land from the advent of Islam until the crusades of his own day , but only two parts were completed .	IN CD PRP VBD TO VB DT NNP NNP , DT NN IN DT NNP NNP IN DT NN IN NNP IN DT NNS IN PRP$ JJ NN , CC RB CD NNS VBD VBN .	B-PP B-NP B-NP B-VP I-VP I-VP B-NP I-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP I-NP B-VP I-VP O	he	begin to write	the historia hierosolymitana
