/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Nompar de Caumont, duc de la Force.txt	9182	duc de la Force	was a marshal of	France	4	8	8	12	12	13	0.9206276904971528	Jacques-Nompar de Caumont , duc de la Force was a marshal of France and peer of France .	NNP IN NNP , NNP NNP NNP NNP VBD DT NN IN NNP CC NN IN NNP .	B-NP I-NP I-NP O B-NP I-NP I-NP I-NP B-VP B-NP I-NP I-NP I-NP O B-NP I-NP I-NP O	duc de la force	be marshal of	france
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Nompar de Caumont, duc de la Force.txt	9183	He	was born in	La Force	0	1	1	4	4	6	0.9580809391366125	He was born in La Force , the son of Francois de Caumont and Philippes de Beaupoil .	PRP VBD VBN IN NNP NNP , DT NN IN NNP NNP NNP CC NNP NNP NNP .	B-NP B-VP I-VP B-PP B-NP I-NP O B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP O	he	bear in	la force
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Nompar de Caumont, duc de la Force.txt	9184	He	survived	the St . Bartholomew 's Day Massacre	0	1	1	2	2	9	0.758984980746731	He survived the St . Bartholomew 's Day Massacre , but his father and older brother Armand were killed .	PRP VBD DT NNP . NNP POS NNP NNP , CC PRP$ NN CC JJR NN CC VBD VBN .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O O B-NP I-NP O B-NP I-NP O B-VP I-VP O	he	survive	the st . bartholomew 's day massacre
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Nompar de Caumont, duc de la Force.txt	9185	He	served	Henri IV.	0	1	1	2	2	4	0.7384422442881713	He served Henri IV.	PRP VBD NNP NNP	B-NP B-VP B-NP I-NP	he	serve	henri iv.
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Nompar de Caumont, duc de la Force.txt	9186	He	was governor of	Béarn and governor of Navarre	0	1	1	4	4	9	0.9999999996738331	He was governor of Béarn and governor of Navarre .	PRP VBD NN IN NNP CC NN IN NNP .	B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP O	he	be governor of	béarn and governor of navarre
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Nompar de Caumont, duc de la Force.txt	9187	he	plotted with	Henri de Rohan	6	7	7	9	9	12	0.6509525289054914	After the death of Henri , he plotted with Henri de Rohan , before submitting to Louis XIII .	IN DT NN IN NNP , PRP VBD IN NNP NNP NNP , IN VBG TO NNP NNP .	B-PP B-NP I-NP I-NP I-NP O B-NP B-VP B-PP B-NP I-NP I-NP O B-PP B-VP B-PP B-NP I-NP O	he	plot with	henri de rohan
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Nompar de Caumont, duc de la Force.txt	9188	He	had a house in	the Rue du Roi de Sicile	0	1	1	5	5	11	0.7436281503757118	He had a house in the Rue du Roi de Sicile in Paris , which was transformed to La Force Prison in 1780 .	PRP VBD DT NN IN DT NNP NNP NNP NNP NNP IN NNP , WDT VBD VBN TO NNP NNP NNP IN CD .	B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-NP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP O	he	have house in	the rue du roi de sicile
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Nompar de Caumont, duc de la Force.txt	9188	Paris	was transformed to	La Force Prison	12	13	15	18	18	21	0.9592431949410775	He had a house in the Rue du Roi de Sicile in Paris , which was transformed to La Force Prison in 1780 .	PRP VBD DT NN IN DT NNP NNP NNP NNP NNP IN NNP , WDT VBD VBN TO NNP NNP NNP IN CD .	B-NP B-VP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP O B-NP B-VP I-VP B-PP B-NP I-NP I-NP B-PP B-NP O	paris	transform to	la force prison
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Nompar de Caumont, duc de la Force.txt	9189	he	was made	a marshal of France	7	8	8	10	10	14	0.5057064693201853	During the reign of Louis XIII , he was made a marshal of France on 27 May 1622 .	IN DT NN IN NNP NNP , PRP VBD VBN DT NN IN NNP IN CD NNP CD .	B-PP B-NP I-NP I-NP I-NP I-NP O B-NP B-VP I-VP B-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP O	he	make	a marshal of france
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Nompar de Caumont, duc de la Force.txt	9190	He	campaigned in	Piedmont	0	1	1	3	3	4	0.6706680935403807	He campaigned in Piedmont , took Saluzzo in 1630 , defeated the Spaniards at Carignano and lifted the siege of Casale .	PRP VBD IN NNP , VBD NNP IN CD , VBD DT NNS IN NNP CC VBD DT NN IN NNP .	B-NP B-VP B-PP B-NP O B-VP B-NP B-PP B-NP O B-VP B-NP I-NP B-PP B-NP O B-VP B-NP I-NP I-NP I-NP O	he	campaign in	piedmont
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jacques-Nompar de Caumont, duc de la Force.txt	9190	He	took	Saluzzo	0	1	5	6	6	7	0.6021350111765814	He campaigned in Piedmont , took Saluzzo in 1630 , defeated the Spaniards at Carignano and lifted the siege of Casale .	PRP VBD IN NNP , VBD NNP IN CD , VBD DT NNS IN NNP CC VBD DT NN IN NNP .	B-NP B-VP B-PP B-NP O B-VP B-NP B-PP B-NP O B-VP B-NP I-NP B-PP B-NP O B-VP B-NP I-NP I-NP I-NP O	he	take	saluzzo
