/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18402	Jair Ventura Filho	is	a former association footballer	0	3	9	10	10	14	0.8027153697296268	Jair Ventura Filho , better known as Jairzinho , is a former association footballer .	NNP NNP NNP , RB VBN IN NNP , VBZ DT JJ NN NN .	B-NP I-NP I-NP O B-VP I-VP B-PP B-NP O B-VP B-NP I-NP I-NP I-NP O	jair ventura filho	be	a former association footballer
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18403	he	was a member of	the legendary Brazilian national team	8	9	9	13	13	18	0.010579208533459722	A quick , powerful forward or winger , he was a member of the legendary Brazilian national team that won the 1970 FIFA World Cup , during which he scored in every game Brazil played .	DT JJ , JJ RB CC RB , PRP VBD DT NN IN DT JJ JJ JJ NN WDT VBD DT CD NNP NNP NNP , IN WDT PRP VBD IN DT NN NNP VBD .	B-NP I-NP I-NP I-NP B-ADVP I-ADVP I-ADVP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP O B-PP B-NP B-NP B-VP B-PP B-NP I-NP I-NP B-VP O	he	be member of	the legendary brazilian national team
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18403	a member of the legendary Brazilian national team	won	the 1970 FIFA World Cup	10	18	19	20	20	25	0.2936696893116675	A quick , powerful forward or winger , he was a member of the legendary Brazilian national team that won the 1970 FIFA World Cup , during which he scored in every game Brazil played .	DT JJ , JJ RB CC RB , PRP VBD DT NN IN DT JJ JJ JJ NN WDT VBD DT CD NNP NNP NNP , IN WDT PRP VBD IN DT NN NNP VBD .	B-NP I-NP I-NP I-NP B-ADVP I-ADVP I-ADVP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP O B-PP B-NP B-NP B-VP B-PP B-NP I-NP I-NP B-VP O	a member of the legendary brazilian national team	win	the # fifa world cup
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18403	he	scored in	every game Brazil	28	29	29	31	31	34	0.014705564756381446	A quick , powerful forward or winger , he was a member of the legendary Brazilian national team that won the 1970 FIFA World Cup , during which he scored in every game Brazil played .	DT JJ , JJ RB CC RB , PRP VBD DT NN IN DT JJ JJ JJ NN WDT VBD DT CD NNP NNP NNP , IN WDT PRP VBD IN DT NN NNP VBD .	B-NP I-NP I-NP I-NP B-ADVP I-ADVP I-ADVP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP B-NP B-VP B-NP I-NP I-NP I-NP I-NP O B-PP B-NP B-NP B-VP B-PP B-NP I-NP I-NP B-VP O	he	score in	every game brazil
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18404	he	became one of only	3 players	4	5	5	9	9	11	0.44712742228300906	In doing so , he became one of only 3 players – the others being Alcides Ghiggia and Just Fontaine – in the history of the World Cup to have scored in every game of the tournament .	IN VBG RB , PRP VBD CD IN RB CD NNS IN DT NNS VBG DT NNP CC RB NNP NNP IN DT NN IN DT NNP NNP TO VB VBN IN DT NN IN DT NN .	B-PP B-VP B-ADVP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP B-VP B-NP I-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP I-NP I-NP O	he	become one of	# players
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18405	He	was listed at	number 27	0	1	1	4	4	6	0.6310699858423937	He was listed at number 27 in World Soccer Magazine 's list of the 100 greatest players of the 20th century , one place ahead of Zinedine Zidane .	PRP VBD VBN IN NN CD IN NNP NNP NNP POS NN IN DT CD JJS NNS IN DT JJ NN , CD NN RB IN NNP NNP .	B-NP B-VP I-VP B-PP B-NP I-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP B-ADVP B-PP B-NP I-NP O	he	list at	number #
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18406	he	played most of	his club football	18	19	19	22	22	25	0.2564351460296539	Due to the economic and political situation of the time , as well as the Sport Legislation , he played most of his club football in South America where he spent eleven years at Rio de Janeiro club Botafogo .	JJ TO DT JJ CC JJ NN IN DT NN , RB RB IN DT NNP NNP , PRP VBD JJS IN PRP$ NN NN IN NNP NNP WRB PRP VBD CD NNS IN NNP IN NNP NN NN .	B-ADVP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-CONJP I-CONJP I-CONJP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP B-ADVP B-NP B-VP B-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP O	he	play most of	his club football
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18406	he	spent eleven years at	Rio	29	30	30	34	34	35	0.7068447827218428	Due to the economic and political situation of the time , as well as the Sport Legislation , he played most of his club football in South America where he spent eleven years at Rio de Janeiro club Botafogo .	JJ TO DT JJ CC JJ NN IN DT NN , RB RB IN DT NNP NNP , PRP VBD JJS IN PRP$ NN NN IN NNP NNP WRB PRP VBD CD NNS IN NNP IN NNP NN NN .	B-ADVP B-PP B-NP I-NP I-NP I-NP I-NP I-NP I-NP I-NP O B-CONJP I-CONJP I-CONJP B-NP I-NP I-NP O B-NP B-VP B-NP I-NP I-NP I-NP I-NP B-PP B-NP I-NP B-ADVP B-NP B-VP B-NP I-NP B-PP B-NP B-PP B-NP I-NP I-NP O	he	spend eleven year at	rio
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18407	He	went on to play in	Europe	0	1	1	6	6	7	0.1388998178889698	He went on to play in Europe during the final years of his career , a common pattern for South American players until the 1980s , when the economic and political situation changed .	PRP VBD IN TO VB IN NNP IN DT JJ NNS IN PRP$ NN , DT JJ NN IN NNP NNP NNS IN DT CD , WRB DT JJ CC JJ NN VBN .	B-NP B-VP B-PRT B-VP I-VP B-PP B-NP B-PP B-NP I-NP I-NP I-NP I-NP I-NP O B-NP I-NP I-NP B-PP B-NP I-NP I-NP B-PP B-NP I-NP O B-ADVP B-NP I-NP I-NP I-NP I-NP B-VP O	he	go on to play in	europe
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18408	Jairzinho	replaced	his footballing idol Garrincha	0	1	1	2	2	6	0.9633432551928722	Jairzinho replaced his footballing idol Garrincha in both the Botafogo and Brazil teams , and played in three consecutive World Cups .	NNP VBD PRP$ NN NN NNP IN DT DT NNP CC NNP NNS , CC VBD IN CD JJ NNP NNP .	B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP B-NP I-NP I-NP I-NP I-NP O O B-VP B-PP B-NP I-NP I-NP I-NP O	jairzinho	replace	his footballing idol garrincha
/Users/nidhikulkarni/Desktop/knowitall-reverb-core-3138a80/scripts/../../wikipedia/dir300/wiki_Jairzinho.txt	18408	both	played in	three consecutive World Cups	7	8	15	17	17	21	0.8558310209587067	Jairzinho replaced his footballing idol Garrincha in both the Botafogo and Brazil teams , and played in three consecutive World Cups .	NNP VBD PRP$ NN NN NNP IN DT DT NNP CC NNP NNS , CC VBD IN CD JJ NNP NNP .	B-NP B-VP B-NP I-NP I-NP I-NP B-PP B-NP B-NP I-NP I-NP I-NP I-NP O O B-VP B-PP B-NP I-NP I-NP I-NP O	both	play in	# consecutive world cups
